"",ABC_LLC,DEF_LLC,GHI_LLC,JKL_LLC,MNO_LLC,Mortgage_Company,Restaurant_1,Restaurant_2,Restaurant_3
Andre,1,0,0,0,0,0,0,0,0
Beverly,1,0,0,0,0,0,0,0,0
Ed,1,0,0,0,0,0,0,0,0
Carol,0,1,0,0,0,0,0,0,0
Diane,0,1,0,0,0,0,0,0,0
Garth,0,0,1,0,0,0,0,0,0
Fred,0,0,1,0,0,0,0,0,0
Ike,0,0,0,1,0,0,0,0,0
Jane,0,0,0,1,0,0,0,0,0
Lee,0,0,0,0,1,0,0,0,0
Kate,0,0,0,0,1,0,0,0,0
Heather,0,0,0,0,0,0,0,0,0
Moe,0,0,0,0,0,1,1,1,1
